Index,Magnitude,Place,Time,Type,Titel, Timestamp
149,1.5,22 km NE of Point Possession, Alaska,2024-01-09 05:48:28,earthquake,M 1.5 - 22 km NE of Point Possession, Alaska
150,5.1,145 km WSW of Teluk Dalam, Indonesia,2024-01-09 05:45:08,earthquake,M 5.1 - 145 km WSW of Teluk Dalam, Indonesia
151,0.0,30 km WNW of Indian Springs, Nevada,2024-01-09 05:43:52,earthquake,M 0.0 - 30 km WNW of Indian Springs, Nevada
152,1.8,44 km NW of Toyah, Texas,2024-01-09 05:36:46,earthquake,M 1.8 - 44 km NW of Toyah, Texas
153,-0.09,16 km ENE of Milford, Utah,2024-01-09 05:30:14,earthquake,M -0.1 - 16 km ENE of Milford, Utah
154,1.05,3 km W of Cobb, CA,2024-01-09 05:29:40,earthquake,M 1.1 - 3 km W of Cobb, CA
155,2.33,5 km NW of Sabana Grande, Puerto Rico,2024-01-09 05:18:42,earthquake,M 2.3 - 5 km NW of Sabana Grande, Puerto Rico
156,1.58,3 km ENE of The Geysers, CA,2024-01-09 05:12:15,earthquake,M 1.6 - 3 km ENE of The Geysers, CA
157,1.8,34 km S of King Salmon, Alaska,2024-01-09 05:11:23,earthquake,M 1.8 - 34 km S of King Salmon, Alaska
158,-0.05,17 km ENE of Milford, Utah,2024-01-09 05:10:28,earthquake,M -0.1 - 17 km ENE of Milford, Utah
159,2.18,15 km S of Volcano, Hawaii,2024-01-09 05:06:44,earthquake,M 2.2 - 15 km S of Volcano, Hawaii
160,4.8,41 km WNW of Abra Pampa, Argentina,2024-01-09 05:04:57,earthquake,M 4.8 - 41 km WNW of Abra Pampa, Argentina
161,0.19,17 km ENE of Milford, Utah,2024-01-09 04:58:19,earthquake,M 0.2 - 17 km ENE of Milford, Utah
162,-0.58,16 km ENE of Milford, Utah,2024-01-09 04:57:47,earthquake,M -0.6 - 16 km ENE of Milford, Utah
163,-0.3,16 km ENE of Milford, Utah,2024-01-09 04:57:20,earthquake,M -0.3 - 16 km ENE of Milford, Utah
164,-0.33,16 km ENE of Milford, Utah,2024-01-09 04:57:02,earthquake,M -0.3 - 16 km ENE of Milford, Utah
165,0.8,10 km WNW of The Geysers, CA,2024-01-09 04:47:51,earthquake,M 0.8 - 10 km WNW of The Geysers, CA
166,2.29999995,6 km SSW of Pāhala, Hawaii,2024-01-09 04:36:06,earthquake,M 2.3 - 6 km SSW of Pāhala, Hawaii
167,0.98,4 km ENE of Tres Pinos, CA,2024-01-09 04:33:26,earthquake,M 1.0 - 4 km ENE of Tres Pinos, CA
168,1.31,5 km NE of Lake View Terrace, CA,2024-01-09 04:26:25,earthquake,M 1.3 - 5 km NE of Lake View Terrace, CA
169,0.86,14 km NE of Ridgecrest, CA,2024-01-09 04:17:00,earthquake,M 0.9 - 14 km NE of Ridgecrest, CA
170,4.5,76 km SSW of Ollagüe, Chile,2024-01-09 04:10:23,earthquake,M 4.5 - 76 km SSW of Ollagüe, Chile
171,4.3,155 km E of Petropavlovsk-Kamchatsky, Russia,2024-01-09 04:08:23,earthquake,M 4.3 - 155 km E of Petropavlovsk-Kamchatsky, Russia
172,0.83,10 km NW of The Geysers, CA,2024-01-09 03:56:12,earthquake,M 0.8 - 10 km NW of The Geysers, CA
173,5.4,38 km WSW of Sola, Vanuatu,2024-01-09 03:54:57,earthquake,M 5.4 - 38 km WSW of Sola, Vanuatu
174,0.25,35 km N of Ivanof Bay, Alaska,2024-01-09 03:46:26,earthquake,M 0.3 - 35 km N of Ivanof Bay, Alaska
175,1.1,40 km NE of Beatty, Nevada,2024-01-09 03:35:41,earthquake,M 1.1 - 40 km NE of Beatty, Nevada
176,0.77,8 km NW of The Geysers, CA,2024-01-09 03:35:04,earthquake,M 0.8 - 8 km NW of The Geysers, CA
177,1.22,2 km WSW of Chino Hills, CA,2024-01-09 03:30:34,earthquake,M 1.2 - 2 km WSW of Chino Hills, CA
178,2.4,17 km W of Point MacKenzie, Alaska,2024-01-09 03:22:33,earthquake,M 2.4 - 17 km W of Point MacKenzie, Alaska
179,0.78,10 km NW of The Geysers, CA,2024-01-09 02:49:22,earthquake,M 0.8 - 10 km NW of The Geysers, CA
180,2.4,40 km NNW of Eureka Roadhouse, Alaska,2024-01-09 02:44:45,earthquake,M 2.4 - 40 km NNW of Eureka Roadhouse, Alaska
181,4.3,207 km W of Port McNeill, Canada,2024-01-09 02:41:29,earthquake,M 4.3 - 207 km W of Port McNeill, Canada
182,4.2,35 km S of Jurm, Afghanistan,2024-01-09 02:27:30,earthquake,M 4.2 - 35 km S of Jurm, Afghanistan
183,0.22,8 km WNW of Cobb, CA,2024-01-09 02:10:25,earthquake,M 0.2 - 8 km WNW of Cobb, CA
184,4.5,122 km SE of Sarangani, Philippines,2024-01-09 02:08:41,earthquake,M 4.5 - 122 km SE of Sarangani, Philippines
185,2.91,3 km SSW of Pāhala, Hawaii,2024-01-09 02:08:34,earthquake,M 2.9 - 3 km SSW of Pāhala, Hawaii
186,4.9,47 km WSW of Santiago de Cao, Peru,2024-01-09 02:05:07,earthquake,M 4.9 - 47 km WSW of Santiago de Cao, Peru
187,1.08,6 km NW of The Geysers, CA,2024-01-09 02:02:31,earthquake,M 1.1 - 6 km NW of The Geysers, CA
188,2.2,50 km N of Petersville, Alaska,2024-01-09 02:01:29,earthquake,M 2.2 - 50 km N of Petersville, Alaska
189,0.76,6 km W of Cobb, CA,2024-01-09 02:00:15,earthquake,M 0.8 - 6 km W of Cobb, CA
190,0.46,3 km SSE of Lima, Montana,2024-01-09 01:56:39,earthquake,M 0.5 - 3 km SSE of Lima, Montana
191,1.1,11 km SSW of Willow, Alaska,2024-01-09 01:53:16,earthquake,M 1.1 - 11 km SSW of Willow, Alaska
192,1.4,56 km WSW of Tatitlek, Alaska,2024-01-09 01:52:55,earthquake,M 1.4 - 56 km WSW of Tatitlek, Alaska
193,1.02,10 km WNW of The Geysers, CA,2024-01-09 01:52:44,earthquake,M 1.0 - 10 km WNW of The Geysers, CA
194,1.7,19 km W of Point MacKenzie, Alaska,2024-01-09 01:45:21,earthquake,M 1.7 - 19 km W of Point MacKenzie, Alaska
195,0.4,6 km W of Cobb, CA,2024-01-09 01:42:02,earthquake,M 0.4 - 6 km W of Cobb, CA
196,2.0,44 km NW of Toyah, Texas,2024-01-09 01:34:35,earthquake,M 2.0 - 44 km NW of Toyah, Texas
197,1.8,62 km SE of Pope-Vannoy Landing, Alaska,2024-01-09 01:13:09,earthquake,M 1.8 - 62 km SE of Pope-Vannoy Landing, Alaska
198,1.9,19 km W of Point MacKenzie, Alaska,2024-01-09 01:11:13,earthquake,M 1.9 - 19 km W of Point MacKenzie, Alaska
199,4.4,236 km WNW of Houma, Tonga,2024-01-09 01:10:59,earthquake,M 4.4 - 236 km WNW of Houma, Tonga
200,0.91,2 km NE of The Geysers, CA,2024-01-09 01:05:14,earthquake,M 0.9 - 2 km NE of The Geysers, CA
201,0.32,8 km NW of The Geysers, CA,2024-01-09 00:57:11,earthquake,M 0.3 - 8 km NW of The Geysers, CA
202,0.88,13 km WNW of Whitehall, Montana,2024-01-09 00:50:47,quarry blast,M 0.9 Quarry Blast - 13 km WNW of Whitehall, Montana
203,1.6,46 km NW of Toyah, Texas,2024-01-09 00:46:17,earthquake,M 1.6 - 46 km NW of Toyah, Texas
204,1.7,54 km S of Whites City, New Mexico,2024-01-09 00:42:18,earthquake,M 1.7 - 54 km S of Whites City, New Mexico
205,2.15,2 km NNE of Tallaboa, Puerto Rico,2024-01-09 00:35:38,earthquake,M 2.2 - 2 km NNE of Tallaboa, Puerto Rico
206,1.5,82 km W of Karluk, Alaska,2024-01-09 00:31:23,earthquake,M 1.5 - 82 km W of Karluk, Alaska
207,1.24,7 km NW of The Geysers, CA,2024-01-09 00:24:52,earthquake,M 1.2 - 7 km NW of The Geysers, CA
208,1.9,39 km SE of Pope-Vannoy Landing, Alaska,2024-01-09 00:22:51,earthquake,M 1.9 - 39 km SE of Pope-Vannoy Landing, Alaska
209,1.96,7 km NNE of Big Bear City, CA,2024-01-09 00:18:22,earthquake,M 2.0 - 7 km NNE of Big Bear City, CA
210,1.09,8 km NW of The Geysers, CA,2024-01-09 00:14:23,earthquake,M 1.1 - 8 km NW of The Geysers, CA
211,0.0,39 km ENE of Beatty, Nevada,2024-01-09 00:03:21,earthquake,M 0.0 - 39 km ENE of Beatty, Nevada
